Name,pos,GP,height,weight,minutes,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade
Greg Anthony,G,757,72,176,20.9379128137384,7.26155878467635,0.357992073976222,1.51387054161162,3.95904887714663,1.17173051519155,0.104359313077939,1.3778071334214,1.74900924702774,6.27476882430647,2.52840158520476,1.90885072655218,1.39894319682959,2.30911492734478,0.805812417437252
Joel Anthony,C,308,81,245,18.4545454545455,2.65909090909091,1.47402597402597,1.9512987012987,0.243506493506494,0.308441558441558,1.33116883116883,0.597402597402597,2.18181818181818,1.90909090909091,0.970779220779221,1.07467532467532,0.717532467532468,0,0
Rafael Araujo,C,139,83,290,11.4028776978417,2.79856115107914,0.892086330935252,1.94964028776978,0.294964028776978,0.366906474820144,0.115107913669065,0.798561151079137,2.15827338129496,2.76978417266187,1.12230215827338,0.805755395683453,0.546762589928058,0.0287769784172662,0.00719424460431655
Gilbert Arenas,G,552,75,191,35.0561594202899,20.6557971014493,0.804347826086957,3.1231884057971,5.26992753623188,1.60144927536232,0.242753623188406,3.15942028985507,3.04891304347826,16.0344202898551,6.74275362318841,6.49275362318841,5.21557971014493,5.57427536231884,1.95471014492754
Trevor Ariza,F,499,79,194,25.627254509018,9.02004008016032,1.17434869739479,3.22444889779559,1.95190380761523,1.34068136272545,0.35871743486974,1.37074148296593,2.02404809619238,7.77955911823647,3.35270541082164,2.49098196392786,1.67935871743487,2.00200400801603,0.635270541082164
B.J. Armstrong,G,666,74,175,24.7732732732733,10.3108108108108,0.25975975975976,1.57057057057057,3.42342342342342,0.731231231231231,0.0615615615615616,1.21021021021021,1.53603603603604,8.39189189189189,3.99399399399399,1.95945945945946,1.67417417417417,1.53153153153153,0.648648648648649
Brandon Armstrong,G,108,77,185,6.47222222222222,2.21296296296296,0.203703703703704,0.37962962962963,0.222222222222222,0.203703703703704,0.037037037037037,0.342592592592593,0.768518518518518,2.65740740740741,0.935185185185185,0.185185185185185,0.111111111111111,0.694444444444444,0.231481481481481
Darrell Armstrong,G,840,72,169,23.7071428571429,9.18095238095238,0.778571428571429,1.92380952380952,4.04047619047619,1.34880952380952,0.116666666666667,1.85238095238095,1.66547619047619,7.74642857142857,3.1702380952381,1.99880952380952,1.74166666666667,3.28928571428571,1.09880952380952
Hilton Armstrong,F-C,277,83,235,11.85559566787,3.08664259927798,0.981949458483754,1.6101083032491,0.350180505415162,0.310469314079422,0.498194945848375,0.808664259927798,1.92418772563177,2.43321299638989,1.2202166064982,1.08303249097473,0.63898916967509,0.0252707581227437,0.0072202166064982
Carlos Arroyo Bermudez,G,569,74,202,18.713532513181,6.62565905096661,0.369068541300527,1.32688927943761,3.09490333919156,0.509666080843585,0.0456942003514939,1.19507908611599,1.53602811950791,5.74516695957821,2.51493848857645,1.68014059753954,1.35500878734622,0.711775043936731,0.240773286467487
Metta World Peace,G-F,827,78,244,33.5767835550181,14.2140266021765,1.22853688029021,3.49576783555018,2.9782345828295,1.86819830713422,0.555018137847642,1.99637243047158,2.73155985489722,12.1596130592503,5.08222490931076,4.03627569528416,2.88754534461911,3.40266021765417,1.16203143893591
Darrell Arthur,F,188,81,225,18.7765957446809,6.88297872340426,1.38297872340426,2.86170212765957,0.590425531914894,0.627659574468085,0.686170212765957,0.835106382978723,2.62765957446809,6.41489361702128,3,1.19148936170213,0.882978723404255,0.0478723404255319,0
Omer Asik,C-F,148,84,255,13.2432432432432,2.93243243243243,1.61486486486486,2.81756756756757,0.432432432432432,0.337837837837838,0.837837837837838,0.891891891891892,1.85135135135135,2.00675675675676,1.06081081081081,1.67567567567568,0.810810810810811,0,0
Vincent Askew,G-F,453,77,210,20.1479028697572,7.19867549668874,0.869757174392936,1.67770419426049,2.17218543046358,0.649006622516556,0.22075055187638,1.08388520971302,2.11920529801325,5.43046357615894,2.63355408388521,2.33774834437086,1.76379690949227,0.558498896247241,0.167770419426049
Keith Askins,G-F,486,79,197,16.4259259259259,3.81069958847737,1.08024691358025,1.85802469135802,0.771604938271605,0.57201646090535,0.349794238683128,0.660493827160494,2.25102880658436,3.47325102880658,1.39300411522634,0.639917695473251,0.458847736625514,1.59259259259259,0.565843621399177
Chucky Atkins,G,696,71,160,24.8635057471264,9.86063218390805,0.278735632183908,1.42528735632184,3.44252873563218,0.668103448275862,0.0517241379310345,1.46264367816092,1.8448275862069,8.65229885057471,3.5617816091954,1.80747126436782,1.39511494252874,3.68534482758621,1.34195402298851
Stacey Augmon,G-F,1001,78,205,21.6373626373626,7.98201798201798,1.3026973026973,1.91008991008991,1.55944055944056,0.973026973026973,0.316683316683317,1.24675324675325,1.74825174825175,6.47352647352647,3.03396603396603,2.61338661338661,1.9020979020979,0.0789210789210789,0.011988011988012
D.J. Augustin,G,282,72,180,26.7482269503546,10.8794326241135,0.319148936170213,1.68085106382979,4.42553191489362,0.627659574468085,0.0390070921985816,1.62411347517731,1.71631205673759,8.86879432624113,3.6063829787234,2.76950354609929,2.42553191489362,3.31914893617021,1.24113475177305
Isaac Austin,F-C,432,82,255,19.3263888888889,7.60416666666667,1.42824074074074,3.27083333333333,1.24537037037037,0.49537037037037,0.523148148148148,1.62268518518519,2.23842592592593,6.71527777777778,2.99768518518519,2.37037037037037,1.58796296296296,0.118055555555556,0.0208333333333333
Anthony Avent,F,352,81,235,19.1164772727273,5.5625,1.59090909090909,2.90909090909091,0.789772727272727,0.471590909090909,0.599431818181818,1.18181818181818,2.34090909090909,5.73579545454545,2.3125,1.36647727272727,0.9375,0.00568181818181818,0
William Avery,G,142,74,180,8.48591549295775,2.66901408450704,0.119718309859155,0.535211267605634,1.40140845070423,0.23943661971831,0.0422535211267606,0.746478873239437,0.880281690140845,2.92253521126761,0.964788732394366,0.640845070422535,0.457746478873239,1.1056338028169,0.28169014084507
Kelenna Azubuike,G,208,77,220,24.2019230769231,10.4711538461538,1.23557692307692,2.75,1.10576923076923,0.625,0.495192307692308,0.975961538461538,1.96153846153846,8.40384615384615,3.85576923076923,2.27403846153846,1.75,2.47115384615385,1.00961538461538
Thurl Bailey,F-C,358,83,215,21.5251396648045,9.09776536312849,1.05586592178771,2.89944134078212,0.958100558659218,0.38268156424581,0.952513966480447,1.06983240223464,1.61731843575419,7.77653631284916,3.57541899441341,2.41899441340782,1.94692737430168,0.0251396648044693,0
Vin Baker,F,791,82.5,232,32.5372945638432,14.9671302149178,2.86093552465234,4.55625790139064,1.90771175726928,0.735777496839444,1.00884955752212,2.21997471554994,3.23640960809102,12.2313527180784,5.93173198482933,4.78761061946903,3.0543615676359,0.228824273072061,0.0493046776232617
Renaldo Balkman,F,221,80,208,13.8642533936652,4.04524886877828,1.2579185520362,2.22171945701357,0.597285067873303,0.742081447963801,0.470588235294118,0.606334841628959,1.90497737556561,3.26244343891403,1.66515837104072,1.2262443438914,0.665158371040724,0.289592760180996,0.0497737556561086
Marcus Banks,G,349,74,200,15.9799426934097,5.9054441260745,0.289398280802292,1.20630372492837,2.08882521489971,0.762177650429799,0.163323782234957,1.24928366762178,1.93982808022923,4.92263610315186,2.12320916905444,1.69340974212034,1.30085959885387,1.10315186246418,0.358166189111748
Leandro Barbosa,G,588,75,176,24.6428571428571,12.5017006802721,0.408163265306122,1.8452380952381,2.4234693877551,0.94047619047619,0.144557823129252,1.48979591836735,2.20068027210884,10.0986394557823,4.65646258503401,2.12585034013605,1.75,3.68197278911565,1.43877551020408
Jose Barea Mora,G,355,71,175,18.2619718309859,7.63661971830986,0.298591549295775,1.56619718309859,3.25352112676056,0.388732394366197,0.0394366197183099,1.3887323943662,1.4169014084507,6.74647887323944,2.89577464788732,1.4,1.12394366197183,2.0169014084507,0.72112676056338
Andrea Bargnani,F,398,84,225,30.4773869346734,15.4221105527638,0.942211055276382,4,1.2713567839196,0.417085427135678,0.902010050251256,1.68592964824121,2.6608040201005,12.8341708542714,5.65075376884422,3.35175879396985,2.76130653266332,3.72613065326633,1.35929648241206
Charles Barkley,F,605,77,250,36.2776859504132,21.7388429752066,3.47272727272727,8.0595041322314,4.18347107438017,1.46611570247934,0.593388429752066,2.8,2.66446280991736,15.1669421487603,7.76363636363636,7.61487603305785,5.5504132231405,2.35371900826446,0.661157024793388
Matt Barnes,F,560,79,235,21.2964285714286,7.30892857142857,1.23214285714286,3.2625,1.73392857142857,0.683928571428571,0.392857142857143,1.21785714285714,2.27857142857143,6.0625,2.7125,1.52678571428571,1.1125,2.34642857142857,0.771428571428571
Dana Barros,G,769,71,163,23.2119635890767,10.5578673602081,0.256176853055917,1.66449934980494,3.42262678803641,0.893368010403121,0.05851755526658,1.41742522756827,1.2704811443433,8.32379713914174,3.8777633289987,1.75032509752926,1.50845253576073,3.13914174252276,1.29388816644993
Earl Barron,C,112,84,245,15.0446428571429,5.08035714285714,1.35714285714286,2.24107142857143,0.482142857142857,0.330357142857143,0.196428571428571,0.8125,2,5.33035714285714,2.00892857142857,1.44642857142857,1.05357142857143,0.125,0.00892857142857143
Brent Barry,G,912,78,185,25.9232456140351,9.30701754385965,0.493421052631579,2.55482456140351,3.17105263157895,1.04714912280702,0.277412280701754,1.41337719298246,1.92324561403509,6.90899122807018,3.17543859649123,1.73355263157895,1.4265350877193,3.77412280701754,1.52960526315789
Jon Barry,G,821,76,195,16.9062119366626,5.74299634591961,0.387332521315469,1.45554202192448,2.17295980511571,0.879415347137637,0.135200974421437,0.984165651644336,1.23751522533496,4.47259439707674,1.94275274056029,1.24604141291108,1.05724725943971,2.04141291108404,0.800243605359318
Brandon Bass,F,395,80,240,20.3974683544304,8.43544303797468,1.4253164556962,2.98227848101266,0.60253164556962,0.321518987341772,0.622784810126582,0.967088607594937,1.73924050632911,6.64556962025316,3.27848101265823,2.28101265822785,1.87848101265823,0.030379746835443,0
Maceo Baston,F,105,81,215,7.92380952380952,2.72380952380952,0.533333333333333,1.13333333333333,0.247619047619048,0.228571428571429,0.40952380952381,0.514285714285714,1.33333333333333,1.63809523809524,1.00952380952381,0.914285714285714,0.676190476190476,0.0761904761904762,0.0285714285714286
Shane Battier,G-F,832,80,220,32.1526442307692,9.18028846153846,1.44471153846154,3.09855769230769,1.90144230769231,1.078125,0.975961538461538,0.989182692307692,2.32572115384615,7.43028846153846,3.27524038461538,1.85697115384615,1.37860576923077,3.27884615384615,1.25120192307692
Tony Battie,C-F,837,83,230,21.0836320191159,6.07168458781362,1.64396654719235,3.4778972520908,0.623655913978495,0.50179211469534,0.851851851851852,0.841099163679809,2.63201911589008,5.24133811230585,2.56033452807646,1.3584229390681,0.936678614097969,0.0884109916367981,0.014336917562724
John Battle,G,275,74,175,18.5127272727273,9.21454545454545,0.243636363636364,1.02909090909091,2,0.436363636363636,0.0654545454545455,1.03272727272727,1.43272727272727,7.66545454545455,3.52363636363636,2.48,2.04727272727273,0.443636363636364,0.12
Nicolas Batum,F-G,255,80,200,26.2156862745098,10.2313725490196,1.2,2.69411764705882,1.27450980392157,0.780392156862745,0.682352941176471,0.980392156862745,2.04313725490196,8.14509803921569,3.74901960784314,1.67058823529412,1.39607843137255,3.5921568627451,1.33725490196078
Lonny Baxter,F,162,79,260,11.6296296296296,3.9320987654321,1.09876543209877,1.84567901234568,0.246913580246914,0.228395061728395,0.364197530864198,0.666666666666667,2,3.2716049382716,1.52469135802469,1.33333333333333,0.876543209876543,0.0308641975308642,0.00617283950617284
Jerryd Bayless,G,229,75,200,18.1484716157205,8.13100436681223,0.262008733624454,1.51965065502183,2.76855895196507,0.454148471615721,0.0698689956331878,1.4410480349345,1.97379912663755,6.39737991266376,2.63755458515284,2.79039301310044,2.29257641921397,1.61135371179039,0.563318777292576
Michael Beasley,F,279,82,245,27.8996415770609,15.1290322580645,1.39784946236559,4.16845878136201,1.38351254480287,0.691756272401434,0.562724014336918,1.88888888888889,2.54480286738351,13.405017921147,6.10035842293907,3.10752688172043,2.3584229390681,1.60573476702509,0.56989247311828
Rodrigue Beaubois,G,137,72,170,17.1313868613139,8.06569343065693,0.277372262773723,1.77372262773723,2.11678832116788,0.766423357664234,0.35036496350365,1.24817518248175,1.88321167883212,7.05839416058394,3.18978102189781,1.1021897810219,0.897810218978102,2.37226277372263,0.788321167883212
William Bedford,C,108,84,225,9.17592592592593,3.80555555555556,0.740740740740741,1.14814814814815,0.407407407407407,0.0740740740740741,0.509259259259259,0.444444444444444,1.36111111111111,3.61111111111111,1.52777777777778,1.03703703703704,0.694444444444444,0.138888888888889,0.0555555555555556
Marco Belinelli,G,287,77,192,21.4808362369338,8.89198606271777,0.219512195121951,1.53310104529617,1.34146341463415,0.588850174216028,0.0592334494773519,0.965156794425087,1.49477351916376,7.54703832752613,3.198606271777,1.5191637630662,1.20905923344948,3.26829268292683,1.28571428571429
Charlie Bell,G,376,75,200,24.9255319148936,8.52127659574468,0.478723404255319,1.68617021276596,2.27925531914894,0.805851063829787,0.0824468085106383,0.968085106382979,1.99468085106383,7.68882978723404,3.17021276595745,1.3218085106383,1.01595744680851,3.22606382978723,1.16489361702128
Raja Bell,G,706,77,210,28.0651558073654,9.91218130311615,0.577903682719547,2.20963172804533,1.71104815864023,0.685552407932011,0.18413597733711,0.984419263456091,2.60623229461756,8.42492917847025,3.65580736543909,1.55949008498584,1.24645892351275,3.3371104815864,1.35410764872521
Jonathan Bender,F,262,83,198,14.6832061068702,5.54580152671756,0.583969465648855,1.63740458015267,0.648854961832061,0.16412213740458,0.645038167938931,0.984732824427481,1.49236641221374,4.66030534351145,1.94274809160305,1.67175572519084,1.27480916030534,1.13358778625954,0.385496183206107
Benoit Benjamin,C,440,84,250,23.9181818181818,9.99772727272727,1.66363636363636,5.14090909090909,0.836363636363636,0.527272727272727,1.26136363636364,1.97954545454545,2.53181818181818,8.09545454545455,3.97954545454545,2.875,2.03863636363636,0.0113636363636364,0
Corey Benjamin,G,153,78,200,14.3202614379085,5.45751633986928,0.549019607843137,1.1437908496732,0.934640522875817,0.464052287581699,0.313725490196078,1.0718954248366,2.06535947712418,5.30718954248366,2.0718954248366,1.44444444444444,0.941176470588235,1.28758169934641,0.372549019607843
Tony Bennett,G,152,72,175,12.4078947368421,3.53947368421053,0.184210526315789,0.835526315789474,1.99342105263158,0.453947368421053,0.00657894736842105,0.611842105263158,1.31578947368421,3.52631578947368,1.45394736842105,0.368421052631579,0.269736842105263,1.07894736842105,0.361842105263158
David Benoit,F,492,80,220,18.9308943089431,7.02235772357724,1.17073170731707,2.85975609756098,0.583333333333333,0.439024390243902,0.5,0.861788617886179,2.07520325203252,6.20121951219512,2.71341463414634,1.46747967479675,1.16666666666667,1.34349593495935,0.428861788617886
Travis Best,G,708,71,182,21.3983050847458,7.59322033898305,0.324858757062147,1.43926553672316,3.45197740112994,0.93361581920904,0.0847457627118644,1.31073446327684,2.28248587570621,6.55649717514124,2.82768361581921,1.87005649717514,1.56214689265537,1.09039548022599,0.375706214689266
Mike Bibby,G,1000,73,190,33.957,14.698,0.529,2.574,5.517,1.172,0.149,2.134,1.931,12.412,5.41,2.943,2.361,4,1.517
Andris Biedrins,F,457,83,240,23.2056892778993,7.04595185995624,2.52078774617068,5.04814004376368,0.991247264770241,0.691466083150985,1.17505470459519,1.01312910284464,3.32385120350109,5.21881838074398,3.10940919037199,1.63457330415755,0.827133479212254,0.00437636761487965,0
Chauncey Billups,G,1002,75,202,32.2235528942116,15.5169660678643,0.473053892215569,2.45309381237525,5.53393213572854,1.02894211576846,0.165668662674651,2.08283433133733,2.11477045908184,11.1806387225549,4.65269461077844,4.95908183632735,4.43213572854291,4.57784431137725,1.77944111776447
Larry Bird,F-G,105,81,220,37.5142857142857,19.7333333333333,0.942857142857143,8.03809523809524,7.01904761904762,1.42857142857143,0.866666666666667,2.97142857142857,1.9047619047619,16.9047619047619,7.76190476190476,3.28571428571429,2.98095238095238,3.1047619047619,1.22857142857143
Rolando Blackman,G,270,78,190,29.2407407407407,14.6074074074074,0.692592592592593,1.86296296296296,2.73333333333333,0.614814814814815,0.211111111111111,1.55925925925926,1.91111111111111,12.537037037037,5.81111111111111,2.72222222222222,2.37037037037037,1.62962962962963,0.614814814814815
DeJuan Blair,F,227,79,265,20.2246696035242,8.47136563876652,2.50660792951542,3.84581497797357,0.969162995594714,0.898678414096916,0.409691629955947,1.39647577092511,2.66519823788546,6.96916299559471,3.68281938325991,1.83700440528634,1.1057268722467,0.0220264317180617,0
Steve Blake,G,631,75,172,24.7781299524564,6.89857369255151,0.302694136291601,1.75594294770206,3.92551505546751,0.68621236133122,0.0618066561014263,1.38351822503962,1.47543581616482,6.26782884310618,2.53407290015848,0.803486529318542,0.630744849445325,3.10142630744849,1.19968304278922
Lance Blanks,G,142,76,190,7.35915492957747,2.03521126760563,0.21830985915493,0.556338028169014,0.823943661971831,0.274647887323944,0.0563380281690141,0.443661971830986,0.859154929577465,1.87323943661972,0.816901408450704,0.401408450704225,0.267605633802817,0.528169014084507,0.133802816901408
Andray Blatche,F,409,83,235,22.7090464547677,9.88264058679707,1.86308068459658,3.55745721271394,1.46943765281174,0.809290953545232,0.89242053789731,1.66503667481663,2.57457212713936,8.87775061124694,4.05867970660147,2.30562347188264,1.68215158924205,0.349633251833741,0.0831295843520782
Mookie Blaylock,G,839,72,180,35.4696066746126,13.6555423122765,1.16209773539929,3.03218116805721,6.86769964243147,2.37544696066746,0.34088200238379,2.33134684147795,1.87961859356377,13.0250297973778,5.35518474374255,1.95828367103695,1.43742550655542,4.45292014302741,1.507747318236
